epoch,loss,acc,val_loss,val_acc
1,0.5501,0.7712,0.4677,0.8075
2,0.4588,0.8103,0.433,0.8227
3,0.4102,0.8273,0.3949,0.8378
4,0.3643,0.8475,0.3881,0.8389
5,0.3186,0.8699,0.3596,0.8519
6,0.2767,0.8867,0.3545,0.8596
7,0.2367,0.9051,0.345,0.8612
8,0.2013,0.9201,0.3346,0.8747
9,0.1692,0.9344,0.3386,0.8778
10,0.1363,0.9465,0.3491,0.8556
11,1.16E-01,0.955,0.3542,0.8922
12,9.19E-02,0.9664,0.3796,0.8872
13,7.69E-02,0.9729,0.3724,0.8936
14,5.66E-02,0.9797,0.3314,0.9091
15,4.46E-02,0.9851,0.3272,0.9136
